2118,142,787,818
6109,144,797,818
9391,144,793,818
10017,143,787,818
12687,146,787,818
13117,155,794,818
20043,143,784,818
20778,155,789,818
23234,147,787,818
24960,151,784,818
26311,149,784,818
32368,154,797,818
36461,153,793,818
38440,144,795,818
42047,152,791,818
43481,142,797,818
50678,149,782,818
52552,156,783,818
58435,146,788,818
62919,149,787,818
68145,144,793,818
68403,145,792,818
73439,146,792,818
73978,152,792,818
83068,151,791,818
83309,145,796,818
84845,149,784,818
85083,154,784,818
85475,147,795,818
89553,149,787,818
95236,155,796,818
96595,151,786,818
97589,146,792,818
100184,153,792,818
105647,145,795,818
106037,155,783,818
108482,146,792,818
124655,151,786,818
131581,151,794,818
132262,151,787,818
142843,153,795,818
143668,141,789,818
147590,146,787,818
148755,151,784,818
148869,142,792,818
156108,141,782,818
156911,147,782,818
164276,142,793,818
165671,155,794,818
168618,152,783,818
169679,149,793,818
169744,147,789,818
170392,155,796,818
171853,155,797,818
181601,149,786,818
181736,143,796,818
184745,143,783,818
189618,146,785,818
189932,148,784,818
191618,147,797,818
197615,153,793,818
206212,150,784,818
213762,145,795,818
218071,152,789,818
220825,150,794,818
221198,144,783,818
234387,153,788,818
238705,153,790,818
244509,150,786,818
247263,141,792,818
260658,156,789,818
273361,150,793,818
274072,156,784,818
278455,143,788,818
279465,150,797,818
280231,143,793,818
280654,142,791,818
281527,153,795,818
281701,151,784,818
285673,144,782,818
289944,146,788,818
290297,150,791,818
304163,142,782,818
315241,146,793,818
318884,151,795,818
324265,141,794,818
324752,142,789,818
334211,152,785,818
335837,142,795,818
341400,147,793,818
343270,143,788,818
350483,150,784,818
352767,142,791,818
354663,149,790,818
357492,146,795,818
360213,146,792,818
362152,146,786,818
363129,145,797,818
364554,146,787,818
366484,150,784,818
369350,142,794,818
373366,149,794,818
375603,148,797,818
381953,149,792,818
382016,151,785,818
390237,145,782,818
392865,149,782,818
394672,156,789,818
410258,150,791,818
414942,143,791,818
430889,156,782,818
435548,143,784,818
440565,156,797,818
449257,146,792,818
454527,146,787,818
462105,149,789,818
465255,150,793,818
466138,143,789,818
468191,156,783,818
471222,144,783,818
471355,150,794,818
472440,143,787,818
474245,142,788,818
475735,142,789,818
480309,145,793,818
486838,143,782,818
488046,155,791,818
488074,156,787,818
491219,152,786,818
494432,155,795,818
495173,153,789,818
498202,144,797,818
506048,142,795,818
506094,147,784,818
517322,153,783,818
520165,141,797,818
520305,150,796,818
521931,149,786,818
525383,156,789,818
526941,145,787,818
532743,155,795,818
536038,149,792,818
538881,148,787,818
540017,151,793,818
540046,151,788,818
543282,144,785,818
544383,153,795,818
545838,148,795,818
556113,149,787,818
556896,151,791,818
564215,156,793,818
564744,148,784,818
564758,148,784,818
566232,141,796,818
573805,155,793,818
582169,150,785,818
586993,147,789,818
590760,154,796,818
595782,150,794,818
597739,156,792,818
603981,149,786,818
604329,148,794,818
608757,151,794,818
614091,142,795,818
623578,147,792,818
624224,152,783,818
627304,151,791,818
666009,149,792,818
667794,146,797,818
668720,156,788,818
670021,149,797,818
671024,156,793,818
673886,154,797,818
676881,146,789,818
678026,142,788,818
684169,150,790,818
686002,149,785,818
686782,143,795,818
690240,154,794,818
694507,151,784,818
699643,144,782,818
700029,146,791,818
701332,150,786,818
705029,152,787,818
706224,151,785,818
706717,146,782,818
708314,144,797,818
709168,143,789,818
712369,143,784,818
714997,156,794,818
721861,148,785,818
726801,156,792,818
738845,149,792,818
740696,146,782,818
742131,143,787,818
745115,152,785,818
747939,153,782,818
748911,152,791,818
761437,152,786,818
767555,150,787,818
770585,146,788,818
773062,144,793,818
778826,146,791,818
779591,151,797,818
779984,149,785,818
784305,149,790,818
784890,154,785,818
795691,144,789,818
800205,155,784,818
806080,155,788,818
809137,151,782,818
809576,154,795,818
810408,153,797,818
812812,146,782,818
818360,154,791,818
819661,151,795,818
819862,155,794,818
820362,155,790,818
821390,153,797,818
821611,145,783,818
828470,145,790,818
828523,147,793,818
838042,150,789,818
841479,150,783,818
842108,143,797,818
842496,142,795,818
842612,149,785,818
843242,143,782,818
845809,143,783,818
848202,152,784,818
863471,149,787,818
865638,143,796,818
869842,146,783,818
877472,143,786,818
877573,146,790,818
878037,146,782,818
878877,154,790,818
890929,143,794,818
891933,143,789,818
895604,147,786,818
902500,153,792,818
902743,155,788,818
905339,149,791,818
907932,146,795,818
910405,148,784,818
911172,143,786,818
912295,155,796,818
912464,148,788,818
914141,146,794,818
918037,151,788,818
920557,151,789,818
925971,142,786,818
929819,146,792,818
930936,149,796,818
931547,148,791,818
932307,146,797,818
933828,152,788,818
936622,143,791,818
939066,144,789,818
939115,141,792,818
940698,154,788,818
942908,143,784,818
956647,146,796,818
957082,153,784,818
957223,147,784,818
957798,148,786,818
958927,155,793,818
963711,156,786,818
966221,155,788,818
966388,143,792,818
968744,145,788,818
973044,142,788,818
977708,141,787,818
981060,155,793,818
985592,144,791,818
985903,144,797,818
994341,156,794,818
999374,145,791,818
